id,name,category,purchase_date,value,depreciation_rate,status,created_at
23,Soldering Station #23,Tools,2016-09-01,9015.50,30.0,Disposed,2022-01-29T06:34:39
24,Conference Table #24,Furniture,2023-04-10,71988.61,15.0,Disposed,2019-09-25T17:11:52
25,External HDD #25,IT Equipment,2017-04-17,22702.24,15.0,Retired,2021-04-20T23:15:27
26,UPS #26,IT Equipment,2018-02-15,68540.98,10.0,Active,2017-08-08T06:31:38
27,Pickup Truck #27,Vehicles,2024-08-05,9922.67,15.0,Disposed,2016-08-10T13:12:41
28,Drill #28,Tools,2023-03-21,79928.23,30.0,Disposed,2019-05-09T05:06:38
29,Monitor #29,IT Equipment,2025-07-18,61032.76,10.0,Retired,2021-06-18T08:48:35
30,Telephone System #30,Office Equipment,2018-09-13,10302.83,30.0,Retired,2020-07-06T03:40:34
31,Saw #31,Tools,2024-06-01,45165.41,15.0,Disposed,2025-09-16T04:42:15
32,Bookshelf #32,Furniture,2017-02-23,25665.00,15.0,Disposed,2020-03-16T12:54:20
33,Wrench Set #33,Tools,2021-04-14,12092.13,20.0,Active,2019-06-27T22:21:22
34,Conference Table #34,Furniture,2025-09-28,56178.97,5.0,Retired,2017-12-04T18:28:46
35,Router #35,IT Equipment,2017-11-29,34915.90,25.0,Active,2018-03-28T06:34:55
36,Hammer #36,Tools,2018-11-14,55608.10,10.0,Retired,2025-01-13T17:44:39
37,Desktop PC #37,IT Equipment,2025-01-13,41930.29,15.0,Active,2017-07-21T23:35:23
38,Telephone System #38,Office Equipment,2021-11-01,42029.41,5.0,Active,2020-03-19T14:44:34
39,Desk #39,Furniture,2023-07-15,1638.18,20.0,Active,2024-09-11T04:10:38
40,Saw #40,Tools,2019-01-29,56604.64,20.0,Active,2016-12-14T08:43:10
41,Scanner #41,Office Equipment,2024-03-13,2518.70,10.0,Disposed,2017-08-09T21:12:54
42,Shuttle Bus #42,Vehicles,2020-01-17,75506.72,10.0,Disposed,2023-08-29T05:54:59
43,Network Switch #43,IT Equipment,2016-09-23,2522.32,25.0,Active,2018-12-07T10:39:35
44,Office Chair #44,Furniture,2018-10-07,17525.77,25.0,Retired,2020-03-17T17:39:19
45,Company Motorcycle #45,Vehicles,2019-02-18,44677.81,25.0,Active,2017-07-29T04:54:12
46,Postal Scale #46,Office Equipment,2019-06-10,39542.39,10.0,Disposed,2024-04-06T22:15:52
47,Desk #47,Furniture,2019-11-24,54227.04,10.0,Active,2023-04-23T10:39:35
48,Soldering Station #48,Tools,2018-01-20,13470.44,20.0,Active,2018-12-28T01:05:02
49,Photocopier #49,Office Equipment,2016-12-21,36226.77,10.0,Disposed,2022-03-12T08:03:33
50,NAS Unit #50,IT Equipment,2021-10-10,76287.32,15.0,Active,2016-06-23T01:10:50
51,Bookshelf #51,Furniture,2019-05-05,18186.96,20.0,Disposed,2016-12-22T18:04:09
52,Whiteboard #52,Furniture,2016-03-25,52452.96,5.0,Active,2020-04-08T06:58:28
53,Reception Sofa #53,Furniture,2018-06-27,9360.66,25.0,Retired,2017-02-28T04:22:20
54,Shuttle Bus #54,Vehicles,2019-08-18,49121.66,20.0,Disposed,2025-03-25T09:49:31
55,Service Car #55,Vehicles,2018-04-24,12829.96,25.0,Disposed,2024-12-07T03:13:14
56,Forklift #56,Vehicles,2021-12-05,77465.89,20.0,Disposed,2016-05-18T21:59:02
57,Laptop #57,IT Equipment,2016-02-09,46926.79,20.0,Active,2016-03-05T17:30:27
58,Conference Table #58,Furniture,2019-10-25,43850.74,10.0,Active,2024-11-28T03:02:20
59,Network Switch #59,IT Equipment,2020-05-05,55391.28,5.0,Disposed,2017-03-08T17:49:26
60,Photocopier #60,Office Equipment,2021-08-11,30345.18,15.0,Active,2023-02-01T01:15:27
61,Label Printer #61,Office Equipment,2016-05-24,44281.79,20.0,Disposed,2016-04-29T14:39:35
62,Hammer #62,Tools,2022-02-12,75289.40,20.0,Retired,2023-02-24T10:26:06
63,Soldering Station #63,Tools,2020-05-31,11939.74,25.0,Retired,2021-04-20T15:32:47
64,Projector #64,Office Equipment,2017-01-25,72419.11,25.0,Disposed,2021-12-31T08:14:25
65,Company Motorcycle #65,Vehicles,2018-01-01,73235.15,30.0,Active,2021-02-17T01:22:20
66,Router #66,IT Equipment,2025-09-25,79856.42,30.0,Active,2023-11-04T10:37:12
67,Wrench Set #67,Tools,2022-04-19,1502.28,30.0,Active,2021-04-01T13:40:37
68,Router #68,IT Equipment,2021-08-04,26164.71,20.0,Active,2021-06-08T11:26:05
69,Trailer #69,Vehicles,2023-06-04,75242.23,5.0,Disposed,2020-01-02T22:59:59
70,Service Car #70,Vehicles,2022-11-27,56172.17,5.0,Disposed,2017-05-17T13:20:30
71,Bookshelf #71,Furniture,2020-01-20,56234.22,10.0,Disposed,2018-06-16T10:31:55
72,Desk #72,Furniture,2020-04-24,47189.57,20.0,Active,2024-09-16T21:32:36
73,UPS #73,IT Equipment,2017-09-21,77797.99,5.0,Disposed,2023-06-03T01:34:32
74,Wrench Set #74,Tools,2021-07-16,65970.19,5.0,Retired,2024-04-30T20:01:20
75,Workshop Bench #75,Tools,2023-07-06,66416.37,20.0,Active,2020-03-17T16:27:26
76,Server #76,IT Equipment,2019-01-01,15167.29,20.0,Active,2023-03-22T10:03:23
77,Wrench Set #77,Tools,2021-06-19,43967.78,30.0,Retired,2023-06-27T16:40:08
78,Standing Desk #78,Furniture,2020-12-13,62910.72,5.0,Active,2024-08-25T09:23:04
79,Telephone System #79,Office Equipment,2023-11-15,43515.04,25.0,Retired,2015-11-27T09:51:54
80,Bookshelf #80,Furniture,2016-10-13,8687.87,20.0,Retired,2016-02-07T23:22:04
81,Utility Cart #81,Vehicles,2023-09-02,51549.38,30.0,Active,2020-11-08T20:02:27
82,Server #82,IT Equipment,2021-04-13,13289.17,20.0,Retired,2025-04-05T17:42:51
83,Saw #83,Tools,2024-08-23,42062.62,10.0,Active,2024-11-25T10:13:30
84,Office Chair #84,Furniture,2024-04-09,57607.54,10.0,Disposed,2021-12-13T20:23:38
85,Angle Grinder #85,Tools,2023-02-12,60691.31,20.0,Retired,2017-09-01T08:27:34
86,Delivery Van #86,Vehicles,2018-08-26,46076.45,25.0,Active,2019-09-08T23:59:18
87,Trailer #87,Vehicles,2022-11-07,36551.73,15.0,Active,2018-12-24T22:50:05
88,Electric Pallet Jack #88,Vehicles,2019-07-26,43633.34,10.0,Disposed,2017-11-12T05:11:57
89,Impact Driver #89,Tools,2022-03-09,73967.93,5.0,Disposed,2016-02-11T22:16:57
90,Desk #90,Furniture,2023-02-24,27620.67,20.0,Retired,2020-03-22T18:20:10
91,Service Car #91,Vehicles,2021-03-22,60159.41,15.0,Active,2016-08-28T13:01:08
92,Tool Trolley #92,Tools,2023-06-29,14034.02,30.0,Active,2023-10-11T11:55:42
93,Scanner #93,Office Equipment,2024-04-28,39536.87,30.0,Disposed,2022-06-09T20:36:51
94,Service Car #94,Vehicles,2021-06-03,1815.09,25.0,Active,2017-06-04T19:02:45
95,Time Clock #95,Office Equipment,2024-02-27,46078.37,5.0,Retired,2021-04-21T13:39:55
96,Telephone System #96,Office Equipment,2015-12-01,76853.51,25.0,Active,2022-02-10T08:10:19
97,Time Clock #97,Office Equipment,2016-03-27,7963.06,25.0,Active,2021-10-28T14:45:52
98,Box Truck #98,Vehicles,2023-11-24,28235.91,20.0,Active,2017-11-12T11:56:18
99,Network Switch #99,IT Equipment,2025-09-26,37939.20,30.0,Active,2019-10-27T22:55:15
100,Wrench Set #100,Tools,2023-04-06,1525.76,15.0,Disposed,2021-02-12T03:28:40
101,Conference Table #101,Furniture,2018-03-16,17897.37,15.0,Disposed,2019-12-22T01:51:52
102,Utility Cart #102,Vehicles,2016-05-09,37442.92,10.0,Active,2020-02-21T13:03:43
103,Workshop Bench #103,Tools,2021-06-14,45650.38,15.0,Disposed,2018-12-03T20:57:12
104,Network Switch #104,IT Equipment,2023-05-09,49214.54,30.0,Active,2015-12-11T07:18:32
105,Card Reader #105,Office Equipment,2020-08-04,63604.36,5.0,Retired,2021-02-28T13:35:14
106,Telephone System #106,Office Equipment,2022-09-06,52999.11,25.0,Disposed,2023-03-19T09:34:52
107,Whiteboard #107,Furniture,2019-10-31,10644.76,5.0,Retired,2021-06-22T18:30:33
108,Soldering Station #108,Tools,2024-12-08,75675.40,20.0,Active,2023-10-19T11:19:44
109,Reception Sofa #109,Furniture,2024-03-11,79706.44,10.0,Disposed,2020-05-01T17:35:42
110,Angle Grinder #110,Tools,2015-12-21,47734.48,5.0,Retired,2024-10-19T14:24:28
111,Box Truck #111,Vehicles,2023-08-13,19945.30,25.0,Disposed,2025-01-17T18:22:51
112,Utility Cart #112,Vehicles,2023-07-13,78597.59,5.0,Active,2020-07-08T19:18:14
113,Multimeter #113,Tools,2019-01-31,50644.70,5.0,Retired,2023-07-09T18:57:18
114,Desk #114,Furniture,2022-02-10,29501.44,5.0,Retired,2018-05-27T05:30:48
115,Laptop #115,IT Equipment,2018-12-21,37073.49,20.0,Retired,2018-08-13T05:44:30
116,Forklift #116,Vehicles,2023-07-01,19463.92,15.0,Active,2025-06-03T05:22:09
117,Filing Cabinet #117,Furniture,2020-07-01,31470.00,20.0,Retired,2021-05-18T01:30:36
118,Filing Cabinet #118,Furniture,2015-12-11,49757.31,30.0,Disposed,2017-09-02T10:08:26
119,Telephone System #119,Office Equipment,2024-05-06,50628.81,15.0,Disposed,2024-02-10T20:13:33
120,UPS #120,IT Equipment,2016-08-19,17426.01,15.0,Active,2016-01-04T10:11:02
121,Photocopier #121,Office Equipment,2016-08-09,30659.74,30.0,Active,2017-09-05T00:48:18
122,Wireless Access Point #122,IT Equipment,2024-04-25,25693.86,10.0,Retired,2023-01-01T13:02:57
123,Visitor Chair #123,Furniture,2016-03-24,27978.21,25.0,Retired,2023-08-20T22:33:45
124,UPS #124,IT Equipment,2018-09-20,19750.26,20.0,Retired,2020-05-08T23:46:40
125,Multimeter #125,Tools,2024-11-07,27476.01,25.0,Disposed,2016-05-08T10:31:44
126,Utility Cart #126,Vehicles,2019-03-12,66351.97,30.0,Disposed,2024-12-24T21:15:45
127,Bookshelf #127,Furniture,2017-01-13,72033.64,10.0,Active,2025-07-12T00:16:25
128,Workshop Bench #128,Tools,2024-07-14,50005.70,5.0,Disposed,2020-10-08T08:54:22
129,Printer #129,Office Equipment,2025-02-01,79040.70,30.0,Retired,2020-08-26T06:44:49
130,Desk #130,Furniture,2020-06-21,72047.76,10.0,Disposed,2022-09-03T01:12:36
131,Postal Scale #131,Office Equipment,2024-03-01,17523.22,10.0,Disposed,2016-08-18T05:56:45
132,Impact Driver #132,Tools,2017-08-26,61882.26,5.0,Active,2025-08-31T14:56:20
133,Trailer #133,Vehicles,2018-04-21,33144.05,5.0,Retired,2023-05-27T03:00:40
134,Desktop PC #134,IT Equipment,2019-05-21,48576.64,20.0,Disposed,2023-02-12T08:27:09
135,Bookshelf #135,Furniture,2016-07-28,51648.69,5.0,Retired,2023-12-16T18:23:24
136,Wireless Access Point #136,IT Equipment,2025-09-25,49120.18,20.0,Disposed,2020-04-04T12:15:35
137,Monitor #137,IT Equipment,2025-04-30,74938.07,30.0,Active,2024-02-19T16:56:59
138,Multimeter #138,Tools,2016-02-07,37282.61,30.0,Active,2016-06-30T08:09:18
139,Office Chair #139,Furniture,2021-05-01,70446.48,30.0,Disposed,2022-05-24T11:02:51
140,Impact Driver #140,Tools,2018-12-06,76995.26,15.0,Disposed,2023-02-20T19:11:58
141,NAS Unit #141,IT Equipment,2019-03-03,4429.73,15.0,Retired,2021-08-11T19:44:50
142,Filing Cabinet #142,Furniture,2019-03-14,61175.32,10.0,Retired,2023-05-03T00:48:52
143,Utility Cart #143,Vehicles,2017-12-27,77697.24,15.0,Active,2023-06-19T22:22:04
144,Desktop PC #144,IT Equipment,2019-04-18,74916.35,30.0,Retired,2021-05-02T17:44:38
145,Impact Driver #145,Tools,2025-06-10,72148.70,10.0,Disposed,2021-08-11T03:32:32
146,Drawer Unit #146,Furniture,2018-09-26,9524.49,20.0,Disposed,2016-10-15T08:16:26
147,UPS #147,IT Equipment,2020-03-16,15411.24,15.0,Retired,2022-08-15T05:21:41
148,Label Printer #148,Office Equipment,2016-03-10,44592.45,20.0,Retired,2021-11-11T13:48:12
149,Monitor #149,IT Equipment,2025-05-02,21128.85,10.0,Retired,2021-10-24T01:59:35
150,Scanner #150,Office Equipment,2023-06-02,74580.11,25.0,Active,2018-02-26T06:57:33
151,Filing Cabinet #151,Furniture,2017-09-12,6719.60,20.0,Retired,2017-10-30T23:08:30
152,Workshop Bench #152,Tools,2015-12-20,75373.10,25.0,Disposed,2019-08-27T04:27:56
153,Drawer Unit #153,Furniture,2018-04-26,55189.06,5.0,Active,2025-07-25T04:07:47
154,Delivery Van #154,Vehicles,2017-01-29,29525.90,25.0,Disposed,2023-01-09T14:33:17
155,Shuttle Bus #155,Vehicles,2024-06-12,44656.16,20.0,Active,2019-02-24T05:15:41
156,Trailer #156,Vehicles,2022-05-27,60157.76,10.0,Active,2023-11-11T12:00:57
157,Time Clock #157,Office Equipment,2016-04-07,23347.99,5.0,Active,2017-12-13T07:57:34
158,Delivery Van #158,Vehicles,2021-11-28,14008.85,5.0,Active,2016-06-02T19:57:37
159,Hammer #159,Tools,2022-10-18,10813.98,20.0,Active,2024-11-13T16:27:26
160,Saw #160,Tools,2017-07-12,74440.68,10.0,Disposed,2025-05-12T21:12:31
161,Impact Driver #161,Tools,2021-04-22,74646.51,20.0,Active,2018-02-11T02:45:22
162,Angle Grinder #162,Tools,2023-03-03,58473.90,20.0,Active,2024-02-04T14:50:40
163,Office Chair #163,Furniture,2017-07-28,19615.22,10.0,Disposed,2021-12-05T03:17:43
164,Service Car #164,Vehicles,2017-10-24,73183.03,10.0,Disposed,2024-01-08T23:16:05
165,UPS #165,IT Equipment,2025-06-28,72148.88,5.0,Active,2019-06-28T16:19:02
166,Forklift #166,Vehicles,2023-09-28,13658.80,30.0,Retired,2020-01-16T10:19:03
167,Forklift #167,Vehicles,2018-04-29,9638.31,15.0,Active,2023-02-11T14:19:44
168,External HDD #168,IT Equipment,2022-04-16,31165.84,10.0,Active,2017-01-01T08:38:11
169,Photocopier #169,Office Equipment,2018-08-06,7552.05,15.0,Disposed,2018-08-15T03:05:59
170,Workshop Bench #170,Tools,2021-06-21,32438.92,5.0,Retired,2016-11-23T17:19:02
171,Paper Shredder #171,Office Equipment,2021-12-09,64018.14,25.0,Disposed,2022-07-11T15:24:39
172,Wrench Set #172,Tools,2024-06-09,40323.45,10.0,Retired,2018-01-06T08:18:17
173,Standing Desk #173,Furniture,2019-06-22,55279.74,25.0,Active,2022-08-25T01:08:27
174,Utility Cart #174,Vehicles,2018-02-05,47372.94,30.0,Active,2025-01-11T09:28:35
175,Filing Cabinet #175,Furniture,2023-01-03,32115.35,30.0,Disposed,2022-06-17T09:42:06
176,Impact Driver #176,Tools,2021-01-24,1787.18,15.0,Retired,2025-10-10T01:58:43
177,NAS Unit #177,IT Equipment,2017-07-04,53809.62,25.0,Active,2020-06-21T16:24:50
178,UPS #178,IT Equipment,2024-01-02,66981.68,10.0,Retired,2024-06-16T09:39:47
179,Soldering Station #179,Tools,2019-06-09,10636.75,25.0,Active,2022-03-28T10:13:21
180,Angle Grinder #180,Tools,2023-07-11,39310.90,30.0,Retired,2019-01-28T12:12:54
181,Utility Cart #181,Vehicles,2019-08-04,46156.70,10.0,Disposed,2019-11-15T22:03:39
182,Conference Table #182,Furniture,2019-11-26,23201.91,10.0,Retired,2021-12-14T20:16:39
183,Projector #183,Office Equipment,2022-05-14,4235.20,30.0,Active,2024-08-19T03:29:04
184,Visitor Chair #184,Furniture,2025-01-27,43417.06,25.0,Active,2020-01-24T16:32:24
185,Saw #185,Tools,2025-10-23,27566.83,15.0,Active,2025-02-17T21:35:32
186,Company Motorcycle #186,Vehicles,2023-03-21,51877.56,20.0,Retired,2016-11-25T07:15:33
187,Workshop Bench #187,Tools,2021-11-10,77147.10,10.0,Active,2020-06-12T16:30:03
188,Company Motorcycle #188,Vehicles,2018-06-12,79037.58,25.0,Active,2025-06-13T15:36:04
189,Hammer #189,Tools,2015-12-01,71152.21,10.0,Retired,2020-10-09T07:03:13
190,Angle Grinder #190,Tools,2024-04-03,4006.96,30.0,Retired,2016-08-21T18:45:33
191,Label Printer #191,Office Equipment,2019-03-10,27003.67,10.0,Retired,2019-08-21T11:57:02
192,Hammer #192,Tools,2019-11-22,59377.28,15.0,Active,2023-12-04T10:26:23
193,Trailer #193,Vehicles,2024-06-14,67169.65,10.0,Active,2019-07-30T09:06:05
194,Office Chair #194,Furniture,2022-04-11,30522.82,5.0,Retired,2024-01-21T10:29:59
195,Shuttle Bus #195,Vehicles,2021-04-30,66878.13,10.0,Active,2020-03-28T11:12:12
196,NAS Unit #196,IT Equipment,2024-01-02,75285.55,30.0,Disposed,2022-10-15T16:24:48
197,Server #197,IT Equipment,2018-07-19,47805.26,20.0,Active,2019-11-28T14:15:13
198,Shuttle Bus #198,Vehicles,2020-07-17,77887.34,30.0,Retired,2016-10-04T15:58:53
199,Angle Grinder #199,Tools,2017-06-16,23966.53,10.0,Active,2024-05-10T16:04:50
200,Printer #200,Office Equipment,2022-11-28,28482.73,10.0,Retired,2025-09-21T14:44:13
201,Forklift #201,Vehicles,2020-07-01,52501.07,5.0,Retired,2016-07-18T08:11:05
202,Delivery Van #202,Vehicles,2020-05-04,33114.66,20.0,Active,2021-07-26T01:26:46
203,Angle Grinder #203,Tools,2020-11-27,51889.93,25.0,Disposed,2022-02-15T23:09:43
204,Desktop PC #204,IT Equipment,2024-07-21,51616.87,20.0,Disposed,2016-12-15T08:11:32
205,Laptop #205,IT Equipment,2021-11-12,19929.05,30.0,Disposed,2022-11-07T14:21:58
206,Saw #206,Tools,2017-01-24,61632.24,30.0,Retired,2022-11-20T01:09:13
207,Forklift #207,Vehicles,2021-08-18,52829.42,30.0,Disposed,2018-11-18T22:30:46
208,Postal Scale #208,Office Equipment,2018-01-14,23264.94,5.0,Active,2024-04-10T17:33:46
209,Service Car #209,Vehicles,2016-08-25,65342.91,5.0,Disposed,2017-10-07T18:42:05
210,Pickup Truck #210,Vehicles,2015-11-25,70224.31,20.0,Retired,2023-07-31T01:13:19
211,Multimeter #211,Tools,2022-12-20,78928.33,20.0,Disposed,2019-04-16T08:12:26
212,Label Printer #212,Office Equipment,2018-02-03,8250.83,20.0,Disposed,2016-09-22T18:22:12
213,NAS Unit #213,IT Equipment,2019-11-30,67529.24,20.0,Active,2024-04-28T03:34:36
214,Box Truck #214,Vehicles,2022-05-28,38659.88,30.0,Active,2017-01-21T04:40:17
215,Shuttle Bus #215,Vehicles,2021-11-18,41579.00,10.0,Active,2022-12-23T03:31:43
216,UPS #216,IT Equipment,2018-12-14,727.57,5.0,Active,2024-07-24T21:21:35
217,Multimeter #217,Tools,2021-05-29,997.52,5.0,Active,2018-04-30T11:01:07
218,Server #218,IT Equipment,2019-07-29,44752.34,5.0,Disposed,2016-03-12T21:05:53
219,Company Motorcycle #219,Vehicles,2017-03-29,65498.98,10.0,Active,2021-03-07T16:18:47
220,Wireless Access Point #220,IT Equipment,2025-06-18,15824.19,25.0,Disposed,2019-01-23T09:34:31
221,Conference Table #221,Furniture,2020-01-05,40959.57,15.0,Active,2020-12-19T20:27:51
222,Photocopier #222,Office Equipment,2024-09-08,8452.87,25.0,Disposed,2024-03-30T18:03:00
223,Forklift #223,Vehicles,2022-04-03,34065.26,15.0,Active,2018-12-08T09:48:46
224,Wireless Access Point #224,IT Equipment,2018-07-03,69829.58,20.0,Active,2018-03-10T17:52:13
225,Scanner #225,Office Equipment,2023-05-08,69229.20,25.0,Retired,2021-06-15T00:42:25
226,Telephone System #226,Office Equipment,2020-05-22,29495.53,10.0,Disposed,2019-01-07T09:31:50
227,Visitor Chair #227,Furniture,2025-08-07,3998.60,20.0,Disposed,2018-05-31T20:03:07
228,External HDD #228,IT Equipment,2022-02-11,25419.95,15.0,Active,2021-02-17T09:18:57
229,Delivery Van #229,Vehicles,2017-07-31,73614.70,30.0,Active,2024-02-10T13:12:40
230,Photocopier #230,Office Equipment,2019-05-23,43947.09,10.0,Active,2024-10-08T17:25:48
231,Drill #231,Tools,2018-11-15,18181.77,5.0,Disposed,2017-02-25T02:43:22
232,Telephone System #232,Office Equipment,2024-05-24,74822.65,20.0,Retired,2024-08-13T16:49:17
233,Scanner #233,Office Equipment,2018-02-04,20395.80,25.0,Retired,2023-08-01T05:06:54
234,Forklift #234,Vehicles,2021-08-26,14566.48,10.0,Retired,2016-04-27T16:28:50
235,Conference Table #235,Furniture,2021-08-12,32427.32,15.0,Retired,2021-11-16T04:36:12
236,Service Car #236,Vehicles,2022-10-22,47942.62,25.0,Retired,2015-12-16T08:22:01
237,Service Car #237,Vehicles,2018-01-29,14740.08,5.0,Disposed,2023-05-06T00:35:46
238,NAS Unit #238,IT Equipment,2022-06-12,1213.15,30.0,Retired,2021-04-21T19:46:45
239,Company Motorcycle #239,Vehicles,2023-09-17,62578.62,5.0,Active,2023-07-31T03:52:43
240,Monitor #240,IT Equipment,2021-01-21,34739.44,5.0,Disposed,2021-08-02T03:34:42
241,Visitor Chair #241,Furniture,2021-01-18,58200.60,30.0,Retired,2025-05-10T10:03:44
242,Filing Cabinet #242,Furniture,2017-09-26,51967.53,15.0,Disposed,2017-11-03T02:18:02
243,Pickup Truck #243,Vehicles,2022-09-17,930.54,15.0,Active,2018-06-20T20:33:05
244,Multimeter #244,Tools,2016-08-10,17269.92,15.0,Active,2017-01-15T18:45:15
245,Angle Grinder #245,Tools,2017-01-28,56441.90,5.0,Retired,2016-09-10T22:48:04
246,Photocopier #246,Office Equipment,2022-02-13,67258.93,10.0,Active,2023-05-03T13:46:40
247,Time Clock #247,Office Equipment,2021-05-28,40013.96,5.0,Retired,2022-09-18T00:00:34
248,NAS Unit #248,IT Equipment,2020-01-05,76593.77,5.0,Active,2015-11-25T20:07:50
249,Photocopier #249,Office Equipment,2025-05-17,76287.45,30.0,Disposed,2025-01-12T19:10:13
250,Drill #250,Tools,2020-12-13,9033.07,5.0,Disposed,2025-04-28T14:49:48
251,Postal Scale #251,Office Equipment,2025-02-10,35355.95,10.0,Disposed,2020-10-26T18:11:42
252,Drill #252,Tools,2018-05-14,795.30,10.0,Retired,2015-12-21T08:20:01
253,Hammer #253,Tools,2024-11-19,72796.93,30.0,Disposed,2017-06-10T09:37:30
254,Angle Grinder #254,Tools,2017-01-15,45564.41,30.0,Retired,2022-09-06T09:33:36
255,Paper Shredder #255,Office Equipment,2020-09-14,65934.92,10.0,Disposed,2020-12-14T17:25:12
256,Visitor Chair #256,Furniture,2016-04-29,30982.59,15.0,Disposed,2021-11-03T21:18:27
257,External HDD #257,IT Equipment,2025-08-21,41769.47,5.0,Retired,2025-09-17T05:14:48
258,Company Motorcycle #258,Vehicles,2023-04-07,57937.12,10.0,Retired,2018-05-21T16:47:39
259,Server #259,IT Equipment,2018-07-09,64690.87,10.0,Retired,2021-07-10T00:20:36
260,Electric Pallet Jack #260,Vehicles,2023-08-24,20867.48,30.0,Retired,2023-05-05T19:41:02
261,Laptop #261,IT Equipment,2017-06-23,46040.64,20.0,Disposed,2020-09-30T11:45:11
262,Box Truck #262,Vehicles,2017-05-07,56207.84,25.0,Retired,2024-09-07T00:48:59
263,Soldering Station #263,Tools,2016-10-20,18359.81,25.0,Retired,2024-08-13T08:58:38
264,Printer #264,Office Equipment,2024-05-26,21344.54,30.0,Active,2019-08-30T11:56:25
265,Telephone System #265,Office Equipment,2016-04-11,58282.29,15.0,Disposed,2025-08-20T06:37:56
266,Bookshelf #266,Furniture,2021-07-09,18949.18,10.0,Active,2023-03-10T17:02:19
267,Multimeter #267,Tools,2021-06-27,14612.12,5.0,Active,2016-11-16T10:53:22
268,Bookshelf #268,Furniture,2016-07-25,62071.47,30.0,Active,2025-09-25T08:25:04
269,Visitor Chair #269,Furniture,2024-03-01,44316.83,20.0,Active,2025-05-10T18:39:07
270,NAS Unit #270,IT Equipment,2020-02-04,44679.82,15.0,Retired,2019-12-20T01:20:04
271,Standing Desk #271,Furniture,2022-10-30,33529.16,5.0,Disposed,2023-05-19T01:45:14
272,Filing Cabinet #272,Furniture,2025-04-19,77550.36,25.0,Disposed,2021-04-21T17:48:01
273,Angle Grinder #273,Tools,2020-02-04,77647.04,25.0,Retired,2020-12-25T04:54:00
274,Pickup Truck #274,Vehicles,2022-10-05,41673.41,20.0,Retired,2023-08-24T16:11:10
275,Service Car #275,Vehicles,2018-03-14,18564.70,30.0,Disposed,2019-08-23T17:06:30
276,Drill #276,Tools,2022-09-18,59415.24,25.0,Retired,2021-10-30T08:17:56
277,Shuttle Bus #277,Vehicles,2019-07-26,25658.54,25.0,Disposed,2024-05-28T13:12:59
278,NAS Unit #278,IT Equipment,2019-12-17,24581.83,30.0,Retired,2025-03-26T00:41:28
279,Delivery Van #279,Vehicles,2016-03-19,28525.83,15.0,Disposed,2021-05-07T11:30:06
280,Scanner #280,Office Equipment,2020-11-15,70536.93,5.0,Active,2021-05-27T23:51:06
281,Laptop #281,IT Equipment,2023-02-16,62775.56,10.0,Disposed,2021-12-11T02:06:28
282,Printer #282,Office Equipment,2025-08-19,64229.45,5.0,Disposed,2023-08-19T20:49:23
283,Shuttle Bus #283,Vehicles,2023-02-11,5951.64,15.0,Active,2025-01-13T05:32:33
284,External HDD #284,IT Equipment,2020-09-29,24247.72,25.0,Retired,2023-12-10T20:02:53
